note,midi,frequency_hz
C0,12,16.351598
C#0,13,17.323914
D0,14,18.354048
D#0,15,19.445436
E0,16,20.601722
F0,17,21.826764
F#0,18,23.124651
G0,19,24.499715
G#0,20,25.956544
A0,21,27.5
A#0,22,29.135235
B0,23,30.867706
C1,24,32.703196
C#1,25,34.647829
D1,26,36.708096
D#1,27,38.890873
E1,28,41.203445
F1,29,43.653529
F#1,30,46.249303
G1,31,48.999429
G#1,32,51.913087
A1,33,55.0
A#1,34,58.27047
B1,35,61.735413
C2,36,65.406391
C#2,37,69.295658
D2,38,73.416192
D#2,39,77.781746
E2,40,82.406889
F2,41,87.307058
F#2,42,92.498606
G2,43,97.998859
G#2,44,103.826174
A2,45,110.0
A#2,46,116.54094
B2,47,123.470825
C3,48,130.812783
C#3,49,138.591315
D3,50,146.832384
D#3,51,155.563492
E3,52,164.813778
F3,53,174.614116
F#3,54,184.997211
G3,55,195.997718
G#3,56,207.652349
A3,57,220.0
A#3,58,233.081881
B3,59,246.941651
C4,60,261.625565
C#4,61,277.182631
D4,62,293.664768
D#4,63,311.126984
E4,64,329.627557
F4,65,349.228231
F#4,66,369.994423
G4,67,391.995436
G#4,68,415.304698
A4,69,440.0
A#4,70,466.163762
B4,71,493.883301
C5,72,523.251131
C#5,73,554.365262
D5,74,587.329536
D#5,75,622.253967
E5,76,659.255114
F5,77,698.456463
F#5,78,739.988845
G5,79,783.990872
G#5,80,830.609395
A5,81,880.0
A#5,82,932.327523
B5,83,987.766603
C6,84,1046.502261
C#6,85,1108.730524
D6,86,1174.659072
D#6,87,1244.507935
E6,88,1318.510228
F6,89,1396.912926
F#6,90,1479.977691
G6,91,1567.981744
G#6,92,1661.21879
A6,93,1760.0
A#6,94,1864.655046
B6,95,1975.533205
C7,96,2093.004522
C#7,97,2217.461048
D7,98,2349.318143
D#7,99,2489.01587
E7,100,2637.020455
F7,101,2793.825851
F#7,102,2959.955382
G7,103,3135.963488
G#7,104,3322.437581
A7,105,3520.0
A#7,106,3729.310092
B7,107,3951.06641
C8,108,4186.009045
